INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,
2022,65,,,,,,,,,,,,,,,,,,,,,,,
2022,68,,,,,,,,,,,,,,,,,,,,,,,
2022,73,1,,,,,,,,,,5,45,50,,,,,,,,,,
2022,82,,,,,,,,,,,,,,,,,,,,,,,
2022,89,,,,,,,,,,,,,,,,,,,,,,,
2022,90,1.3,0,0,0,0,0,0,5,5,5,10,15,25,15,10,5,5,0,0,,,,
2022,93,,,,,,,,,,,,,,,,,,,,,,,
2022,95,1.2422266184,.0080916295,.0288792982,.0915160015,.2574940455,.6432756267,1.426877715,2.8101931202,4.9141151596,7.6298191795,10.5182360749,12.8745285566,13.9919907113,13.5016682867,11.56791562,8.7999973773,5.9438757963,3.5646480862,1.426877715,,,,
2022,96,1.6,,,,,,,,,3,5,10,15,32,20,10,5,,,,,,
2022,97,,,,,,,,,,,,,,,,,,,,,,,
2022,98,1.3,,,,,,,,,,5,30,30,25,10,,,,,,,,
2022,99,1.6,,,,,,,,,,,,30,70,,,,,,,,,
2022,101,1.5,,,,,,,,,5,10,20,30,30,5,,,,,,,,
2022,102,1.3,,,,,,,,,,,,,,,,,,,,,,
2022,103,,,,,,,,,,,,,,,,,,,,,,,
2022,105,1.7,,,,,,,,,,,,,95,5,,,,,,,,
2022,107,1.4707827431,0,0,0,.0000000003,.0000000885,.0000120882,.0008111798,.0268371063,.4397359823,3.5857960229,14.6192327601,29.910897763,30.777236084,15.9280925953,4.1378156799,.5376229813,.0347773001,.001132368,,,,
2022,108,1.06657975,,,,,,,,.06,5.22,13.64,22.06,26.71,19.17,10.69,2.45,,,,,,,
2022,110,,,,,,,,,,,,,,,,,,,,,,,
2022,112,1.3,,,,,,,,,5,10,20,30,20,10,5,,,,,,,
2022,114,1.4,,,,,,,,,,,,,,,,,,,,,,
2022,115,,,,,,,,,,,,,,,,,,,,,,,
2022,117,,,,,,,,,,,,,,,,,,,,,,,
2022,119,1,,,,,,,,,5,5,10,60,10,5,5,,,,,,,
2022,121,1.59,0,0,0,0,0,0,2,3,7,10,17,20,25,12,3,1,0,0,,,,
2022,127,1.7,0,0,0,0,0,0,5.5407383568,3.2049151374,5.5763395688,8.0579193385,10.4813830916,12.2726225167,12.9354022877,12.2728806689,10.4818240463,8.0584278463,5.5768087842,5.5407383568,,,,
2022,128,1.3,,,,,,1,1,4,6,8,12,15,35,10,4,2,1,1,,,,
2022Mar,1,1.8,,,,,,,1,3,5,7,10,20,26,17,5,3,2,1,,,,
2022Mar,2,1.3,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,,,,
2022Mar,4,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,5,1.6,,,,,,,,,,5,10,25,35,20,5,,,,,,,
2022Mar,6,1.5,,,,,,,,,,,15,35,35,15,,,,,,,,
2022Mar,8,1.3,,,,,,1,3,5,10,12,15,20,15,12,5,2,,,,,,
2022Mar,14,1.6,,,,,,,0,1,2,7,14,25,22,16,8,4,1,0,,,,
2022Mar,15,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,16,1.6,0,0,0,0,0,0,1,2,3,5,8,15,20,18,13,10,4,1,,,,
2022Mar,20,1.2,,,,,,,,,5,12,20,30,20,10,3,,,,,,,
2022Mar,22,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,23,1.5,,,,,,,,,8,13,22,25,20,10,2,,,,,,,
2022Mar,24,1.154040007,,,,,,,1,2,6,12,28,14,14,12,6,4,1,,,,,
2022Mar,26,1.4,,,,,,,,,,10,20,30,30,10,,,,,,,,
2022Mar,30,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,31,2.25,,,,,,,,,,,,,,,,,,,,,,
2022Mar,32,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,33,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,36,1.5,,,,,,,,,5,15,20,25,25,10,,,,,,,,
2022Mar,37,1.4,,,,,,,,,,1,17,32,30,15,5,,,,,,,
2022Mar,38,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,39,1.6,,,,,,,,,,5,15,30,30,15,5,,,,,,,
2022Mar,41,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,42,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,45,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,52,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,54,,,,,,,,,,,20,50,30,,,,,,,,,,
2022Mar,56,1.1,,,,,,,,,5,10,30,30,20,5,,,,,,,,
2022Mar,61,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,63,1.5,,,,,,,,,,,10,35,35,20,,,,,,,,
2022Mar,65,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,68,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,73,.7,,,,,,,,,5,30,40,25,,,,,,,,,,
2022Mar,82,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,89,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,90,1.1,0,0,0,0,0,0,5,5,5,10,15,20,15,10,5,5,5,0,,,,
2022Mar,93,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,95,1.1806728024,.0000739978,.0006425663,.0045382348,.0260690825,.1217963474,.462820425,1.4304098907,3.5956567577,7.3513260471,12.2242684352,16.5329292125,18.1863887214,16.2709484092,11.8399263713,7.0073671099,3.3731097683,1.3206137457,.2511148772,,,,
2022Mar,96,1.5,,,,,,,,,3,7,10,25,30,15,7,3,,,,,,
2022Mar,97,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,98,1.2,,,,,,,,,,5,35,30,25,5,,,,,,,,
2022Mar,99,1.6,,,,,,,,,,,,25,75,,,,,,,,,
2022Mar,101,1.4,,,,,,,,,,,,,,,,,,,,,,
2022Mar,102,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,103,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,105,1.2,,,,,,,,,,,5,95,,,,,,,,,,
