INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2018Jun,116,1.3,0,0,5,10,20,27,23,10,5,0,0,0,,,,,,,
2018Jun,118,1.1,,,,,,,,,,,,,,,,,,,
2018Jun,119,1.6,,,,,20,35,40,5,,,,,,,,,,,
2019,1,1.7,,,3,9,13,15,40,15,4,1,,,,,,,,,
2019,2,1.5,0,0,0,0,10,20,60,10,0,0,0,0,,,,,,,
2019,4,1.8,0,0,5,5,10,20,30,15,10,5,,,,,,,,,
2019,6,1.7,,,,,5,15,50,30,,,,,,,,,,,
2019,7,,,,,,,,,,,,,,,,,,,,
2019,8,1.7,,,,5,14,29,33,16,3,,,,,,,,,,
2019,10,1.5,,,,,,35,60,5,,,,,,,,,,,
2019,14,1.2,1,2,5,11,20,26,19,11,4,1,0,0,,,,,,,
2019,15,1.725,,,,5,10,20,25,25,10,5,,,,,,,,,
2019,16,1.6,1,2,7,10,12,17,18,15,10,5,2,1,,,,,,,
2019,20,1.6,,,,5,20,30,35,10,,,,,,,,,,,
2019,22,1.7,,,,5,10,30,40,15,,,,,,,,,,,
2019,23,1.6,1,2,3,8,16,18,22,16,10,3,1,,,,,,,,
2019,24,1.7,,,5,6,13,17,20,16.5,12,8.5,2,,,,,,,,
2019,29,1.5,,,,,,40,50,10,,,,,,,,,,,
2019,31,2.1,,,,,5,15,25,35,15,5,,,,,,,,,
2019,32,,,,,,,,,,,,,,,,,,,,
2019,33,1.8,2,3,4,5,6,13,25,15,9,7,6,5,,,,,,,
2019,35,,,,,,,,,,,,,,,,,,,,
2019,36,1.7,0,0,0,10,20,25,25,10,10,0,0,0,,,,,,,
2019,37,2,,,,,,2,36,53,8,1,,,,,,,,,
2019,38,1.6,,,,,,20,60,20,,,,,,,,,,,
2019,39,1.6,,,,,10,35,40,15,,,,,,,,,,,
2019,41,1.6,,,,,,25,50,25,,,,,,,,,,,
2019,45,1.625,,,,5,5,25,35,25,5,,,,,,,,,,
2019,47,,,,,,,,,,,,,,,,,,,,
2019,48,,,,,,,,,,,,,,,,,,,,
2019,49,1.3,,,,,,,,,,,,,,,,,,,
2019,52,1.6,0,0,1,6,12,20,25,20,12,3,1,0,,,,,,,
2019,56,1.4,,,,,10,40,40,10,,,,,,,,,,,
2019,61,,,,,,,,,,,,,,,,,,,,
2019,70,,,,,,,,,,,,,,,,,,,,
2019,80,1.6,0,0,.4662004662,1.3986013986,8.6247086247,29.1375291375,37.5291375292,17.4825174825,5.1282051282,.2331002331,0,0,,,,,,,
2019,82,,,,,,,,,,,,,,,,,,,,
2019,85,1.617401127,.0051800096,.0716407824,.6306842351,3.3929627061,11.1710242334,22.5347693528,27.8725378161,21.1428168162,9.8329288446,2.8015179679,.4883989271,.0555383087,,,,,,,
2019,88,1.8,2,5,6,8,10,11,13,12,11,10,7,5,,,,,,,
2019,89,1.7654802183,,,0,2.5,10,15,30,25,10,5,2.5,,,,,,,,
2019,93,1.8,,,,,,10,67,17.5,5.5,,,,,,,,,,
2019,94,1.683,.5,1,2,3,5,18,40,18,8,3,1,.5,,,,,,,
